score,label
0.9998342,1
0.999739,1
0.48955762,1
0.6422881,1
0.99999976,1
0.9893149,1
0.9999597,1
0.8667517,1
0.6422881,1
0.99987197,1
0.49324498,1
0.94966364,1
0.40678522,1
0.911712,1
0.9952195,1
0.44529137,1
0.36422223,0
0.41384572,0
0.81761473,0
0.35803393,0
0.66391724,0
0.22762975,0
0.3019133,0
0.15650927,0
0.53600687,0
0.38134885,0
0.55052805,0
0.5089362,0
0.8855208,0
0.41652152,0
0.84691656,0
0.11199589,0
0.64135814,1
0.56531155,1
0.7146678,1
0.5414767,1
0.99760985,1
0.6653058,1
0.99801433,1
0.8139528,1
0.95130324,1
0.99157315,1
0.6280276,1
0.591256,1
0.88366807,1
0.49812117,0
0.40865016,0
0.10924838,0
0.34509265,0
0.36422223,0
0.41384572,0
0.81761473,0
0.35803393,0
0.66391724,0
0.22762975,0
0.3019133,0
0.15650927,0
0.5360069,0
